project_id,snapshot_month,ministry,sector,implementing_agency,state,original_cost_cr,planned_duration_months,elapsed_months,physical_progress_pct,financial_progress_pct,expenditure_cr,milestones_total,milestones_delayed,project_status,final_cost_cr,actual_duration_months,cost_overrun,time_overrun
PRJ-0003,2023-04,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,4,5.64,8.27,3.83,12,1,Ongoing,47.75,34,1,1
PRJ-0003,2023-06,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,6,7.57,12.43,5.82,12,2,Delayed,47.75,34,1,1
PRJ-0003,2023-07,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,7,9.5,13.49,6.28,12,2,Delayed,47.75,34,1,1
PRJ-0003,2023-08,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,8,9.59,13.49,6.44,12,2,Delayed,47.75,34,1,1
PRJ-0003,2023-09,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,9,11.25,15.37,7.16,12,2,Delayed,47.75,34,1,1
PRJ-0003,2023-10,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,10,13.35,21.85,10.4,12,2,Delayed,47.75,34,1,1
PRJ-0003,2024-01,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,13,25.38,36.31,16.99,12,2,Delayed,47.75,34,1,1
PRJ-0003,2024-02,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,14,27.29,43.73,20.35,12,4,Critical,47.75,34,1,1
PRJ-0003,2024-04,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,16,33.36,54.09,26.03,12,4,Critical,47.75,34,1,1
PRJ-0003,2024-06,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,18,40.33,61.84,29.05,12,5,Critical,47.75,34,1,1
PRJ-0003,2024-09,Ministry of Power,Power,POWERGRID,Gujarat,40.02,25,21,40.33,61.84,29.67,12,5,Critical,47.75,34,1,1
PRJ-0004,2022-08,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,2,8.86,9.05,23.22,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2022-09,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,3,9.88,9.53,24.7,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2022-10,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,4,11.45,11.62,30.27,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2022-11,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,5,13.56,13.33,34.1,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2022-12,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,6,15.78,15.87,40.8,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2023-02,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,8,19.7,18.9,49.43,9,1,Ongoing,262.93,39,0,0
PRJ-0004,2023-03,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,9,22.49,22.64,59.01,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2023-04,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,10,25.59,24.28,62.95,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2023-08,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,14,41.3,42.22,108.23,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2023-10,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,16,49.07,50.05,129.2,9,1,Ongoing,262.93,39,0,0
PRJ-0004,2024-02,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,20,65.11,62.41,161.96,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2024-08,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,26,78.61,80.31,209.27,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2024-11,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,29,84.69,80.31,209.18,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2025-03,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,33,94.28,96.11,246.89,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2025-05,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,35,94.28,96.69,252.26,9,0,Ongoing,262.93,39,0,0
PRJ-0004,2025-06,Ministry of Road Transport and Highways,Roads and Highways,NHAI,Bihar,247.61,37,36,94.28,96.69,255.26,9,0,Ongoing,262.93,39,0,0
PRJ-0005,2022-09,Ministry of Railways,Railways,RVNL,Chhattisgarh,176.88,39,4,11.17,10.94,19.9,9,0,Ongoing,184.9,41,0,0
PRJ-0005,2022-10,Ministry of Railways,Railways,RVNL,Chhattisgarh,176.88,39,5,12.81,12.61,23.24,9,0,Ongoing,184.9,41,0,0
PRJ-0005,2022-11,Ministry of Railways,Railways,RVNL,Chhattisgarh,176.88,39,6,13.85,13.9,25.54,9,0,Ongoing,184.9,41,0,0
PRJ-0005,2023-05,Ministry of Railways,Railways,RVNL,Chhattisgarh,176.88,39,12,30.4,29.28,52.93,9,0,Ongoing,184.9,41,0,0
PRJ-0005,2023-09,Ministry of Railways,Railways,RVNL,Chhattisgarh,176.88,39,16,42.09,41.16,76.85,9,0,Ongoing,184.9,41,0,0
PRJ-0005,2023-12,Ministry of Railways,Railways,RVNL,Chhattisgarh,176.88,39,19,55.26,53.78,96.81,9,0,Ongoing,184.9,41,0,0
PRJ-0005,2024-01,Ministry of Railways,Railways,RVNL,Chhattisgarh,176.88,39,20,62.05,62.27,112.47,9,0,Ongoing,184.9,41,0,0
PRJ-0005,2024-05,Ministry of Railways,Railways,RVNL,Chhattisgarh,176.88,39,24,72.29,71.01,127.37,9,0,Ongoing,184.9,41,0,0
PRJ-0005,2024-08,Ministry of Railways,Railways,RVNL,Chhattisgarh,176.88,39,27,79.44,82.47,150.25,9,0,Ongoing,184.9,41,0,0
PRJ-0005,2025-03,Ministry of Railways,Railways,RVNL,Chhattisgarh,176.88,39,34,89.11,92.44,170.83,9,1,Ongoing,184.9,41,0,0
PRJ-0005,2025-05,Ministry of Railways,Railways,RVNL,Chhattisgarh,176.88,39,36,97.01,93.55,168.43,9,0,Ongoing,184.9,41,0,0
PRJ-0006,2022-11,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Rajasthan,184.89,39,7,15.94,16.09,29.67,13,0,Ongoing,182.77,38,0,0
PRJ-0006,2022-12,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Rajasthan,184.89,39,8,18.97,19.39,35.6,13,0,Ongoing,182.77,38,0,0
PRJ-0006,2023-05,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Rajasthan,184.89,39,13,34.58,34.19,62.53,13,0,Ongoing,182.77,38,0,0
PRJ-0006,2023-06,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Rajasthan,184.89,39,14,35.48,35.14,62.67,13,0,Ongoing,182.77,38,0,0
PRJ-0006,2023-08,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Rajasthan,184.89,39,16,43.48,41.17,73.4,13,1,Ongoing,182.77,38,0,0
PRJ-0006,2023-09,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Rajasthan,184.89,39,17,50.1,49.85,89.95,13,0,Ongoing,182.77,38,0,0
PRJ-0006,2023-11,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Rajasthan,184.89,39,19,54.51,54.0,96.15,13,0,Ongoing,182.77,38,0,0
PRJ-0006,2025-03,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Rajasthan,184.89,39,35,94.93,91.28,166.17,13,0,Ongoing,182.77,38,0,0
PRJ-0006,2025-04,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Rajasthan,184.89,39,36,94.93,91.28,164.9,13,0,Ongoing,182.77,38,0,0
PRJ-0006,2025-06,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,IOCL,Rajasthan,184.89,39,38,94.93,95.26,173.72,13,1,Ongoing,182.77,38,0,0
PRJ-0007,2021-07,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,3,8.06,10.2,18.17,10,0,Ongoing,182.71,42,1,0
PRJ-0007,2021-08,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,4,9.6,12.1,22.16,10,0,Ongoing,182.71,42,1,0
PRJ-0007,2021-12,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,8,14.98,21.2,39.05,10,0,Ongoing,182.71,42,1,0
PRJ-0007,2022-01,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,9,15.66,21.2,39.03,10,0,Ongoing,182.71,42,1,0
PRJ-0007,2022-03,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,11,21.48,26.18,48.18,10,0,Ongoing,182.71,42,1,0
PRJ-0007,2022-04,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,12,22.05,30.77,55.65,10,0,Ongoing,182.71,42,1,0
PRJ-0007,2022-08,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,16,32.94,43.23,79.43,10,0,Ongoing,182.71,42,1,0
PRJ-0007,2022-09,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,17,36.19,51.41,94.83,10,0,Ongoing,182.71,42,1,0
PRJ-0007,2022-11,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,19,42.27,51.41,93.92,10,0,Ongoing,182.71,42,1,0
PRJ-0007,2023-04,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,24,59.33,83.1,147.49,10,1,Ongoing,182.71,42,1,0
PRJ-0007,2023-06,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,26,63.7,83.1,153.3,10,1,Ongoing,182.71,42,1,0
PRJ-0007,2023-11,Ministry of Road Transport and Highways,Roads and Highways,State PWD,Uttarakhand,151.41,40,31,79.99,100.0,179.82,10,2,Delayed,182.71,42,1,0
PRJ-0008,2023-06,Ministry of Railways,Railways,RVNL,Karnataka,1217.16,61,6,5.06,7.87,123.87,20,1,Ongoing,1579.84,93,1,1
PRJ-0008,2024-12,Ministry of Railways,Railways,RVNL,Karnataka,1217.16,61,24,12.76,19.02,302.74,20,5,Delayed,1579.84,93,1,1
PRJ-0008,2026-03,Ministry of Railways,Railways,RVNL,Karnataka,1217.16,61,39,25.44,34.54,545.15,20,6,Critical,1579.84,93,1,1
PRJ-0008,2026-06,Ministry of Railways,Railways,RVNL,Karnataka,1217.16,61,42,37.61,51.71,819.9,20,8,Critical,1579.84,93,1,1
PRJ-0008,2027-06,Ministry of Railways,Railways,RVNL,Karnataka,1217.16,61,54,51.43,76.62,1198.77,20,11,Critical,1579.84,93,1,1
PRJ-0009,2023-09,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,GAIL,West Bengal,994.41,55,1,4.07,4.66,49.69,27,1,Ongoing,1073.51,66,0,1
PRJ-0009,2026-01,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,GAIL,West Bengal,994.41,55,29,32.85,37.26,398.81,27,7,Delayed,1073.51,66,0,1
PRJ-0009,2026-04,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,GAIL,West Bengal,994.41,55,32,40.33,43.97,467.27,27,8,Delayed,1073.51,66,0,1
PRJ-0009,2026-07,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,GAIL,West Bengal,994.41,55,35,40.33,43.97,472.68,27,7,Delayed,1073.51,66,0,1
PRJ-0009,2026-10,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,GAIL,West Bengal,994.41,55,38,50.61,59.13,626.9,27,9,Delayed,1073.51,66,0,1
PRJ-0009,2026-12,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,GAIL,West Bengal,994.41,55,40,50.61,59.13,617.97,27,9,Delayed,1073.51,66,0,1
PRJ-0009,2027-05,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,GAIL,West Bengal,994.41,55,45,55.37,63.11,684.22,27,12,Critical,1073.51,66,0,1
PRJ-0009,2027-08,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,GAIL,West Bengal,994.41,55,48,69.12,79.24,846.78,27,11,Critical,1073.51,66,0,1
PRJ-0009,2028-01,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,GAIL,West Bengal,994.41,55,53,72.39,79.24,853.7,27,12,Critical,1073.51,66,0,1
PRJ-0009,2028-03,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,GAIL,West Bengal,994.41,55,55,72.39,79.24,831.41,27,14,Critical,1073.51,66,0,1
PRJ-0010,2022-08,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Chhattisgarh,579.93,44,2,7.83,8.03,44.01,14,0,Ongoing,550.93,46,0,0
PRJ-0010,2023-02,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Chhattisgarh,579.93,44,8,16.77,16.35,90.16,14,0,Ongoing,550.93,46,0,0
PRJ-0010,2023-05,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Chhattisgarh,579.93,44,11,22.19,21.38,116.84,14,0,Ongoing,550.93,46,0,0
PRJ-0010,2023-07,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Chhattisgarh,579.93,44,13,27.29,28.06,155.07,14,0,Ongoing,550.93,46,0,0
PRJ-0010,2023-09,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Chhattisgarh,579.93,44,15,35.18,35.27,196.1,14,0,Ongoing,550.93,46,0,0
PRJ-0010,2023-10,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Chhattisgarh,579.93,44,16,36.0,36.45,197.51,14,1,Ongoing,550.93,46,0,0
PRJ-0010,2024-07,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Chhattisgarh,579.93,44,25,65.74,68.02,366.24,14,0,Ongoing,550.93,46,0,0
PRJ-0010,2024-09,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Chhattisgarh,579.93,44,27,69.27,70.1,375.99,14,0,Ongoing,550.93,46,0,0
PRJ-0010,2025-02,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Chhattisgarh,579.93,44,32,85.62,85.15,459.31,14,0,Ongoing,550.93,46,0,0
PRJ-0010,2025-04,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Chhattisgarh,579.93,44,34,86.56,86.06,470.32,14,0,Ongoing,550.93,46,0,0
PRJ-0010,2025-06,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Chhattisgarh,579.93,44,36,91.12,87.72,477.06,14,0,Ongoing,550.93,46,0,0
PRJ-0011,2026-01,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Delhi,533.9,52,30,39.75,44.1,254.66,17,5,Delayed,582.51,63,0,1
PRJ-0011,2026-07,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Delhi,533.9,52,36,44.68,51.58,295.25,17,6,Delayed,582.51,63,0,1
PRJ-0011,2026-09,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Delhi,533.9,52,38,56.2,66.65,391.87,17,5,Delayed,582.51,63,0,1
PRJ-0011,2026-10,"Ministry of Ports, Shipping and Waterways",Shipping and Ports,IPA,Delhi,533.9,52,39,56.2,66.65,390.48,17,4,Delayed,582.51,63,0,1
PRJ-0012,2022-10,Ministry of Housing and Urban Affairs,Urban Development,NBCC,Andhra Pradesh,996.1,51,7,6.07,9.46,129.6,17,2,Ongoing,1377.51,83,1,1
PRJ-0012,2023-01,Ministry of Housing and Urban Affairs,Urban Development,NBCC,Andhra Pradesh,996.1,51,10,6.62,9.94,137.23,17,2,Ongoing,1377.51,83,1,1
PRJ-0012,2024-03,Ministry of Housing and Urban Affairs,Urban Development,NBCC,Andhra Pradesh,996.1,51,24,20.87,28.98,399.03,17,3,Delayed,1377.51,83,1,1
PRJ-0012,2025-02,Ministry of Housing and Urban Affairs,Urban Development,NBCC,Andhra Pradesh,996.1,51,35,29.13,41.08,564.33,17,4,Critical,1377.51,83,1,1
PRJ-0012,2025-08,Ministry of Housing and Urban Affairs,Urban Development,NBCC,Andhra Pradesh,996.1,51,41,37.42,57.23,766.99,17,11,Critical,1377.51,83,1,1
PRJ-0012,2026-01,Ministry of Housing and Urban Affairs,Urban Development,NBCC,Andhra Pradesh,996.1,51,46,41.49,58.88,793.74,17,11,Critical,1377.51,83,1,1
PRJ-0012,2026-05,Ministry of Housing and Urban Affairs,Urban Development,NBCC,Andhra Pradesh,996.1,51,50,50.28,66.57,904.47,17,12,Critical,1377.51,83,1,1
PRJ-0012,2026-06,Ministry of Housing and Urban Affairs,Urban Development,NBCC,Andhra Pradesh,996.1,51,51,58.58,94.69,1307.36,17,11,Critical,1377.51,83,1,1
PRJ-0013,2023-08,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,1,6.81,6.56,32.37,11,0,Ongoing,496.43,45,0,0
PRJ-0013,2023-09,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,2,7.67,7.89,38.51,11,0,Ongoing,496.43,45,0,0
PRJ-0013,2023-12,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,5,11.24,11.68,57.48,11,0,Ongoing,496.43,45,0,0
PRJ-0013,2024-01,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,6,13.25,12.83,62.46,11,0,Ongoing,496.43,45,0,0
PRJ-0013,2024-06,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,11,22.64,22.58,109.86,11,0,Ongoing,496.43,45,0,0
PRJ-0013,2024-07,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,12,23.65,23.38,115.02,11,0,Ongoing,496.43,45,0,0
PRJ-0013,2024-12,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,17,36.38,37.36,186.99,11,1,Ongoing,496.43,45,0,0
PRJ-0013,2025-01,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,18,39.33,39.7,198.35,11,1,Ongoing,496.43,45,0,0
PRJ-0013,2025-04,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,21,50.8,48.45,234.89,11,0,Ongoing,496.43,45,0,0
PRJ-0013,2026-02,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,31,76.69,79.36,394.58,11,0,Ongoing,496.43,45,0,0
PRJ-0013,2026-03,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,32,82.5,83.13,404.17,11,1,Ongoing,496.43,45,0,0
PRJ-0013,2026-05,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,34,87.44,90.68,441.55,11,0,Ongoing,496.43,45,0,0
PRJ-0013,2026-11,Ministry of Housing and Urban Affairs,Urban Development,DMRC,Punjab,518.43,46,40,92.28,95.83,469.2,11,0,Ongoing,496.43,45,0,0
PRJ-0014,2023-09,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,1,7.58,7.83,14.75,9,0,Ongoing,193.48,26,0,0
PRJ-0014,2023-10,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,2,9.6,9.13,17.49,9,0,Ongoing,193.48,26,0,0
PRJ-0014,2023-12,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,4,14.58,14.42,28.17,9,0,Ongoing,193.48,26,0,0
PRJ-0014,2024-01,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,5,16.33,15.8,30.17,9,0,Ongoing,193.48,26,0,0
PRJ-0014,2024-03,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,7,23.94,24.67,47.46,9,0,Ongoing,193.48,26,0,0
PRJ-0014,2024-05,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,9,32.55,33.28,64.57,9,0,Ongoing,193.48,26,0,0
PRJ-0014,2024-06,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,10,36.37,36.5,69.23,9,1,Ongoing,193.48,26,0,0
PRJ-0014,2024-07,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,11,41.72,41.74,78.71,9,0,Ongoing,193.48,26,0,0
PRJ-0014,2024-08,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,12,48.6,47.9,90.35,9,0,Ongoing,193.48,26,0,0
PRJ-0014,2024-11,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,15,64.8,65.77,123.84,9,1,Ongoing,193.48,26,0,0
PRJ-0014,2025-04,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,20,83.89,86.76,167.38,9,0,Ongoing,193.48,26,0,0
PRJ-0014,2025-05,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,21,86.51,86.76,167.1,9,1,Ongoing,193.48,26,0,0
PRJ-0014,2025-06,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,22,93.64,93.76,181.22,9,0,Ongoing,193.48,26,0,0
PRJ-0014,2025-07,Ministry of Petroleum and Natural Gas,Petroleum and Natural Gas,ONGC,Chhattisgarh,203.66,27,23,93.64,93.76,179.84,9,1,Ongoing,193.48,26,0,0
PRJ-0015,2023-11,Ministry of Railways,Railways,RVNL,Bihar,51.07,26,1,6.26,7.27,3.93,13,0,Ongoing,54.87,31,0,1
PRJ-0015,2024-06,Ministry of Railways,Railways,RVNL,Bihar,51.07,26,8,17.97,19.4,10.7,13,0,Ongoing,54.87,31,0,1
PRJ-0015,2024-12,Ministry of Railways,Railways,RVNL,Bihar,51.07,26,14,39.78,39.63,21.65,13,1,Delayed,54.87,31,0,1
PRJ-0015,2025-01,Ministry of Railways,Railways,RVNL,Bihar,51.07,26,15,39.78,39.63,21.45,13,1,Delayed,54.87,31,0,1
PRJ-0015,2025-02,Ministry of Railways,Railways,RVNL,Bihar,51.07,26,16,39.78,43.54,23.52,13,3,Delayed,54.87,31,0,1
PRJ-0015,2025-03,Ministry of Railways,Railways,RVNL,Bihar,51.07,26,17,39.8,49.61,27.15,13,2,Delayed,54.87,31,0,1
PRJ-0015,2025-05,Ministry of Railways,Railways,RVNL,Bihar,51.07,26,19,44.3,49.61,26.95,13,1,Critical,54.87,31,0,1
PRJ-0015,2025-08,Ministry of Railways,Railways,RVNL,Bihar,51.07,26,22,76.81,81.82,43.6,13,2,Ongoing,54.87,31,0,1
PRJ-0016,2023-03,Ministry of Power,Power,POWERGRID,Uttarakhand,45.41,27,10,22.73,25.06,13.1,13,1,Delayed,53.39,30,1,0
PRJ-0016,2023-04,Ministry of Power,Power,POWERGRID,Uttarakhand,45.41,27,11,30.14,33.55,17.79,13,1,Ongoing,53.39,30,1,0
PRJ-0016,2023-05,Ministry of Power,Power,POWERGRID,Uttarakhand,45.41,27,12,35.25,35.08,18.32,13,2,Ongoing,53.39,30,1,0
PRJ-0016,2023-07,Ministry of Power,Power,POWERGRID,Uttarakhand,45.41,27,14,35.25,39.1,20.52,13,1,Delayed,53.39,30,1,0
PRJ-0016,2023-12,Ministry of Power,Power,POWERGRID,Uttarakhand,45.41,27,19,49.66,54.05,28.16,13,3,Delayed,53.39,30,1,0
PRJ-0016,2024-02,Ministry of Power,Power,POWERGRID,Uttarakhand,45.41,27,21,55.78,64.89,33.79,13,4,Delayed,53.39,30,1,0
PRJ-0017,2021-08,Ministry of Power,Power,NTPC,Uttar Pradesh,442.52,54,2,3.81,6.19,38.87,18,1,Ongoing,624.97,74,1,1
PRJ-0017,2024-09,Ministry of Power,Power,NTPC,Uttar Pradesh,442.52,54,39,36.74,55.9,350.33,18,9,Critical,624.97,74,1,1
PRJ-0017,2025-09,Ministry of Power,Power,NTPC,Uttar Pradesh,442.52,54,51,48.05,74.79,468.23,18,11,Critical,624.97,74,1,1
PRJ-0017,2025-11,Ministry of Power,Power,NTPC,Uttar Pradesh,442.52,54,53,61.85,84.75,515.68,18,14,Critical,624.97,74,1,1
